2040,albania,Sep 2,Saturday,Feast of the Sacrifice,National holiday
2040,albania,Sep 22,Friday,September equinox,Season
2040,albania,Oct 19,Thursday,Mother Teresa Beatification Day,National holiday
2040,albania,Oct 29,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2040,albania,Oct 31,Tuesday,Halloween,Observance
2040,albania,Nov 28,Tuesday,Independence Day,National holiday
2040,albania,Nov 29,Wednesday,Liberation Day,National holiday
2040,albania,Dec 8,Friday,National Youth Day,National holiday
2040,albania,Dec 21,Thursday,December Solstice,Season
2040,albania,Dec 24,Sunday,Christmas Eve,Observance
2040,albania,Dec 25,Monday,Christmas Day,National holiday
2040,albania,Dec 31,Sunday,New Year's Eve,Observance
2041,albania,Date,Weekday,Holiday Name,Holiday Type
2041,albania
2041,albania,Jan 1,Sunday,New Year's Day,National holiday
2041,albania,Jan 2,Monday,New Year's Day (Day 2),National holiday
2041,albania,Feb 14,Tuesday,Valentine's Day,Observance
2041,albania,Mar 8,Wednesday,Mothers' Day,Observance
2041,albania,Mar 14,Tuesday,Summer Day,National holiday
2041,albania,Mar 20,Monday,March equinox,Season
2041,albania,Mar 22,Wednesday,Nevruz Day,National holiday
2041,albania,Mar 26,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2041,albania,Apr 14,Friday,Good Friday,Observance
2041,albania,Apr 14,Friday,Good Friday (Orthodox),"Observance, Orthodox"
2041,albania,Apr 15,Saturday,Holy Saturday,Observance
2041,albania,Apr 15,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
2041,albania,Apr 16,Sunday,Easter Sunday,National holiday
2041,albania,Apr 16,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
2041,albania,Apr 17,Monday,Easter Monday,Observance
2041,albania,Apr 17,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
2041,albania,May 1,Monday,Labour Day/May Day,National holiday
2041,albania,Jun 18,Sunday,Fathers' Day,Observance
2041,albania,Jun 21,Wednesday,June Solstice,Season
2041,albania,Jun 26,Monday,End of Ramadan (Eid al-Fitr),National holiday
2041,albania,Sep 2,Saturday,Feast of the Sacrifice,National holiday
2041,albania,Sep 22,Friday,September equinox,Season
2041,albania,Oct 19,Thursday,Mother Teresa Beatification Day,National holiday
2041,albania,Oct 29,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2041,albania,Oct 31,Tuesday,Halloween,Observance
2041,albania,Nov 28,Tuesday,Independence Day,National holiday
2041,albania,Nov 29,Wednesday,Liberation Day,National holiday
2041,albania,Dec 8,Friday,National Youth Day,National holiday
2041,albania,Dec 21,Thursday,December Solstice,Season
2041,albania,Dec 24,Sunday,Christmas Eve,Observance
2041,albania,Dec 25,Monday,Christmas Day,National holiday
2041,albania,Dec 31,Sunday,New Year's Eve,Observance
2042,albania,Date,Weekday,Holiday Name,Holiday Type
2042,albania
2042,albania,Jan 1,Sunday,New Year's Day,National holiday
2042,albania,Jan 2,Monday,New Year's Day (Day 2),National holiday
2042,albania,Feb 14,Tuesday,Valentine's Day,Observance
2042,albania,Mar 8,Wednesday,Mothers' Day,Observance
2042,albania,Mar 14,Tuesday,Summer Day,National holiday
2042,albania,Mar 20,Monday,March equinox,Season
2042,albania,Mar 22,Wednesday,Nevruz Day,National holiday
2042,albania,Mar 26,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2042,albania,Apr 14,Friday,Good Friday,Observance
2042,albania,Apr 14,Friday,Good Friday (Orthodox),"Observance, Orthodox"
2042,albania,Apr 15,Saturday,Holy Saturday,Observance
2042,albania,Apr 15,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
2042,albania,Apr 16,Sunday,Easter Sunday,National holiday
2042,albania,Apr 16,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
2042,albania,Apr 17,Monday,Easter Monday,Observance
2042,albania,Apr 17,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
2042,albania,May 1,Monday,Labour Day/May Day,National holiday
2042,albania,Jun 18,Sunday,Fathers' Day,Observance
2042,albania,Jun 21,Wednesday,June Solstice,Season
2042,albania,Jun 26,Monday,End of Ramadan (Eid al-Fitr),National holiday
2042,albania,Sep 2,Saturday,Feast of the Sacrifice,National holiday
2042,albania,Sep 22,Friday,September equinox,Season
2042,albania,Oct 19,Thursday,Mother Teresa Beatification Day,National holiday
2042,albania,Oct 29,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2042,albania,Oct 31,Tuesday,Halloween,Observance
2042,albania,Nov 28,Tuesday,Independence Day,National holiday
2042,albania,Nov 29,Wednesday,Liberation Day,National holiday
2042,albania,Dec 8,Friday,National Youth Day,National holiday
2042,albania,Dec 21,Thursday,December Solstice,Season
2042,albania,Dec 24,Sunday,Christmas Eve,Observance
2042,albania,Dec 25,Monday,Christmas Day,National holiday
2042,albania,Dec 31,Sunday,New Year's Eve,Observance
2043,albania,Date,Weekday,Holiday Name,Holiday Type
2043,albania
2043,albania,Jan 1,Sunday,New Year's Day,National holiday
2043,albania,Jan 2,Monday,New Year's Day (Day 2),National holiday
2043,albania,Feb 14,Tuesday,Valentine's Day,Observance
2043,albania,Mar 8,Wednesday,Mothers' Day,Observance
2043,albania,Mar 14,Tuesday,Summer Day,National holiday
2043,albania,Mar 20,Monday,March equinox,Season
2043,albania,Mar 22,Wednesday,Nevruz Day,National holiday
2043,albania,Mar 26,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2043,albania,Apr 14,Friday,Good Friday,Observance
2043,albania,Apr 14,Friday,Good Friday (Orthodox),"Observance, Orthodox"
2043,albania,Apr 15,Saturday,Holy Saturday,Observance
2043,albania,Apr 15,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
2043,albania,Apr 16,Sunday,Easter Sunday,National holiday
2043,albania,Apr 16,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
2043,albania,Apr 17,Monday,Easter Monday,Observance
2043,albania,Apr 17,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
2043,albania,May 1,Monday,Labour Day/May Day,National holiday
2043,albania,Jun 18,Sunday,Fathers' Day,Observance
2043,albania,Jun 21,Wednesday,June Solstice,Season
2043,albania,Jun 26,Monday,End of Ramadan (Eid al-Fitr),National holiday
2043,albania,Sep 2,Saturday,Feast of the Sacrifice,National holiday
2043,albania,Sep 22,Friday,September equinox,Season
2043,albania,Oct 19,Thursday,Mother Teresa Beatification Day,National holiday
2043,albania,Oct 29,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
2043,albania,Oct 31,Tuesday,Halloween,Observance
2043,albania,Nov 28,Tuesday,Independence Day,National holiday
2043,albania,Nov 29,Wednesday,Liberation Day,National holiday
2043,albania,Dec 8,Friday,National Youth Day,National holiday
2043,albania,Dec 21,Thursday,December Solstice,Season
2043,albania,Dec 24,Sunday,Christmas Eve,Observance
2043,albania,Dec 25,Monday,Christmas Day,National holiday
2043,albania,Dec 31,Sunday,New Year's Eve,Observance
2044,albania,Date,Weekday,Holiday Name,Holiday Type
2044,albania
2044,albania,Jan 1,Sunday,New Year's Day,National holiday
2044,albania,Jan 2,Monday,New Year's Day (Day 2),National holiday
2044,albania,Feb 14,Tuesday,Valentine's Day,Observance
2044,albania,Mar 8,Wednesday,Mothers' Day,Observance
2044,albania,Mar 14,Tuesday,Summer Day,National holiday
2044,albania,Mar 20,Monday,March equinox,Season
2044,albania,Mar 22,Wednesday,Nevruz Day,National holiday
2044,albania,Mar 26,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
2044,albania,Apr 14,Friday,Good Friday,Observance
2044,albania,Apr 14,Friday,Good Friday (Orthodox),"Observance, Orthodox"
2044,albania,Apr 15,Saturday,Holy Saturday,Observance
2044,albania,Apr 15,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
2044,albania,Apr 16,Sunday,Easter Sunday,National holiday
2044,albania,Apr 16,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
2044,albania,Apr 17,Monday,Easter Monday,Observance
2044,albania,Apr 17,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
2044,albania,May 1,Monday,Labour Day/May Day,National holiday
2044,albania,Jun 18,Sunday,Fathers' Day,Observance
2044,albania,Jun 21,Wednesday,June Solstice,Season
